anio,departamento,valor,nota
2018,Artigas,15,situaciones atendidas (tabla 2)
2018,Canelones,32,situaciones atendidas (tabla 2)
2018,Cerro Largo,27,situaciones atendidas (tabla 2)
2018,Colonia,30,situaciones atendidas (tabla 2)
2018,Durazno,16,situaciones atendidas (tabla 2)
2018,Flores,12,situaciones atendidas (tabla 2)
2018,Florida,15,situaciones atendidas (tabla 2)
2018,Lavalleja,9,situaciones atendidas (tabla 2)
2018,Maldonado,33,situaciones atendidas (tabla 2)
2018,Montevideo,53,situaciones atendidas (tabla 2)
2018,Paysandú,20,situaciones atendidas (tabla 2)
2018,Río Negro,8,situaciones atendidas (tabla 2)
2018,Rivera,20,situaciones atendidas (tabla 2)
2018,Rocha,17,situaciones atendidas (tabla 2)
2018,Salto,6,situaciones atendidas (tabla 2)
2018,San José,15,situaciones atendidas (tabla 2)
2018,Soriano,24,situaciones atendidas (tabla 2)
2018,Tacuarembó,30,situaciones atendidas (tabla 2)
2018,Treinta y Tres,4,situaciones atendidas (tabla 2)
2018,Total nacional,386,total situaciones atendidas (tabla 2)
2019,Artigas,8,situaciones atendidas (tabla 2)
2019,Canelones,22,situaciones atendidas (tabla 2)
2019,Cerro Largo,2,situaciones atendidas (tabla 2)
2019,Colonia,11,situaciones atendidas (tabla 2)
2019,Durazno,3,situaciones atendidas (tabla 2)
2019,Flores,5,situaciones atendidas (tabla 2)
2019,Florida,16,situaciones atendidas (tabla 2)
2019,Lavalleja,0,situaciones atendidas (tabla 2)
2019,Maldonado,7,situaciones atendidas (tabla 2)
2019,Montevideo,28,situaciones atendidas (tabla 2)
2019,Paysandú,22,situaciones atendidas (tabla 2)
2019,Río Negro,14,situaciones atendidas (tabla 2)
2019,Rivera,16,situaciones atendidas (tabla 2)
2019,Rocha,11,situaciones atendidas (tabla 2)
2019,Salto,13,situaciones atendidas (tabla 2)
2019,San José,12,situaciones atendidas (tabla 2)
2019,Soriano,22,situaciones atendidas (tabla 2)
2019,Tacuarembó,20,situaciones atendidas (tabla 2)
2019,Treinta y Tres,8,situaciones atendidas (tabla 2)
2019,Total nacional,240,total situaciones atendidas (tabla 2)
2020,Artigas,29,situaciones atendidas (tabla 2)
2020,Canelones,35,situaciones atendidas (tabla 2)
2020,Cerro Largo,24,situaciones atendidas (tabla 2)
2020,Colonia,25,situaciones atendidas (tabla 2)
2020,Durazno,13,situaciones atendidas (tabla 2)
2020,Flores,8,situaciones atendidas (tabla 2)
2020,Florida,22,situaciones atendidas (tabla 2)
2020,Lavalleja,3,situaciones atendidas (tabla 2)
2020,Maldonado,29,situaciones atendidas (tabla 2)
2020,Montevideo,59,situaciones atendidas (tabla 2)
2020,Paysandú,20,situaciones atendidas (tabla 2)
2020,Río Negro,12,situaciones atendidas (tabla 2)
2020,Rivera,18,situaciones atendidas (tabla 2)
2020,Rocha,14,situaciones atendidas (tabla 2)
2020,Salto,24,situaciones atendidas (tabla 2)
2020,San José,18,situaciones atendidas (tabla 2)
2020,Soriano,16,situaciones atendidas (tabla 2)
2020,Tacuarembó,23,situaciones atendidas (tabla 2)
2020,Treinta y Tres,18,situaciones atendidas (tabla 2)
2020,Total nacional,410,total situaciones atendidas (tabla 2)
2021,Artigas,46,situaciones atendidas (tabla 2)
2021,Canelones,28,situaciones atendidas (tabla 2)
2021,Cerro Largo,35,situaciones atendidas (tabla 2)
2021,Colonia,44,situaciones atendidas (tabla 2)
2021,Durazno,21,situaciones atendidas (tabla 2)
2021,Flores,5,situaciones atendidas (tabla 2)
2021,Florida,28,situaciones atendidas (tabla 2)
2021,Lavalleja,6,situaciones atendidas (tabla 2)
2021,Maldonado,42,situaciones atendidas (tabla 2)
2021,Montevideo,58,situaciones atendidas (tabla 2)
2021,Paysandú,27,situaciones atendidas (tabla 2)
2021,Río Negro,19,situaciones atendidas (tabla 2)
2021,Rivera,15,situaciones atendidas (tabla 2)
2021,Rocha,9,situaciones atendidas (tabla 2)
2021,Salto,29,situaciones atendidas (tabla 2)
2021,San José,20,situaciones atendidas (tabla 2)
2021,Soriano,22,situaciones atendidas (tabla 2)
2021,Tacuarembó,24,situaciones atendidas (tabla 2)
2021,Treinta y Tres,16,situaciones atendidas (tabla 2)
2021,Total nacional,494,total situaciones atendidas (tabla 2)
2018,Total nacional,175,"situaciones nuevas en el año (texto, p. 45; sobre 386 totales)"
2019,Total nacional,129,"situaciones nuevas en el año (texto, p. 45; sobre 240 totales)"
2021,Total nacional,422,"situaciones con víctimas de 12 a 18 años (texto, p. 45; sobre 494 totales)"
2021,Total nacional,364,"situaciones judicializadas (texto, p. 45; sobre 494 totales)"
