anio,departamento,victimas_mujeres,pct_mujeres,nota
2020,Artigas,23,79,
2020,Canelones,33,94,
2020,Cerro Largo,13,54,
2020,Colonia,25,100,
2020,Durazno,11,85,
2020,Flores,7,88,
2020,Florida,18,82,
2020,Lavalleja,3,100,
2020,Maldonado,25,86,
2020,Montevideo,52,88,
2020,Paysandú,16,80,
2020,Río Negro,9,75,
2020,Rivera,14,78,
2020,Rocha,13,93,
2020,Salto,19,79,
2020,San José,17,94,
2020,Soriano,16,100,
2020,Tacuarembó,23,100,
2020,Treinta y Tres,17,94,
2020,Total nacional,354,86,total (tabla 3)
2021,Artigas,37,80,
2021,Canelones,25,89,
2021,Cerro Largo,20,57,
2021,Colonia,44,100,
2021,Durazno,15,71,
2021,Flores,5,100,
2021,Florida,22,79,
2021,Lavalleja,6,100,
2021,Maldonado,36,86,
2021,Montevideo,51,88,
2021,Paysandú,22,81,
2021,Río Negro,19,100,
2021,Rivera,12,80,
2021,Rocha,8,89,
2021,Salto,21,72,
2021,San José,20,100,
2021,Soriano,22,100,
2021,Tacuarembó,24,100,
2021,Treinta y Tres,16,100,
2021,Total nacional,425,86,total (tabla 3)
