metrica,anio,categoria,valor,unidad,fuente
trabajo_infantil,2024,total,6.8,porcentaje,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
trabajo_infantil,2024,total,40.2,miles_nna,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
trabajo_infantil,2024,region=Interior,7.7,porcentaje,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
trabajo_infantil,2024,region=Interior,29.7,miles_nna,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
trabajo_infantil,2024,region=Montevideo,5.2,porcentaje,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
trabajo_infantil,2024,region=Montevideo,10.5,miles_nna,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
trabajo_infantil,2024,sexo=Mujer,7.0,porcentaje,"ENSANNA 2024, Cuadro 2 (INE/MTSS)"
trabajo_infantil,2024,sexo=Mujer,20.1,miles_nna,"ENSANNA 2024, Cuadro 2 (INE/MTSS)"
trabajo_infantil,2024,sexo=Varon,6.6,porcentaje,"ENSANNA 2024, Cuadro 2 (INE/MTSS)"
trabajo_infantil,2024,sexo=Varon,20.1,miles_nna,"ENSANNA 2024, Cuadro 2 (INE/MTSS)"
trabajo_infantil,2024,edad=5 a 8,2.0,porcentaje,"ENSANNA 2024, Cuadro 3 (INE/MTSS)"
trabajo_infantil,2024,edad=5 a 8,3.3,miles_nna,"ENSANNA 2024, Cuadro 3 (INE/MTSS)"
trabajo_infantil,2024,edad=9 a 14,7.6,porcentaje,"ENSANNA 2024, Cuadro 3 (INE/MTSS)"
trabajo_infantil,2024,edad=9 a 14,21.8,miles_nna,"ENSANNA 2024, Cuadro 3 (INE/MTSS)"
trabajo_infantil,2024,edad=15 a 17,10.6,porcentaje,"ENSANNA 2024, Cuadro 3 (INE/MTSS)"
trabajo_infantil,2024,edad=15 a 17,15.0,miles_nna,"ENSANNA 2024, Cuadro 3 (INE/MTSS)"
trabajo_infantil,2024,nse=Bajo,7.9,porcentaje,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Bajo,16.3,miles_nna,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Medio bajo,7.5,porcentaje,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Medio bajo,8.6,miles_nna,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Medio,6.1,porcentaje,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Medio,6.5,miles_nna,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Medio alto,5.9,porcentaje,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Medio alto,5.0,miles_nna,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Alto,4.8,porcentaje,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_infantil,2024,nse=Alto,3.7,miles_nna,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
trabajo_frontera_produccion,2024,total,4.9,porcentaje,"ENSANNA 2024, Gráfico 1 (INE/MTSS); TFP = actividades económicas"
trabajo_frontera_produccion,2024,region=Interior,5.9,porcentaje,"ENSANNA 2024, Gráfico 1 (INE/MTSS)"
trabajo_frontera_produccion,2024,region=Montevideo,2.9,porcentaje,"ENSANNA 2024, Gráfico 1 (INE/MTSS)"
trabajo_frontera_produccion,2024,sexo=Mujer,4.2,porcentaje,"ENSANNA 2024, Gráfico 2 (INE/MTSS)"
trabajo_frontera_produccion,2024,sexo=Varon,5.5,porcentaje,"ENSANNA 2024, Gráfico 2 (INE/MTSS)"
trabajo_frontera_produccion,2024,edad=5 a 8,2.0,porcentaje,"ENSANNA 2024, Gráfico 3 (INE/MTSS)"
trabajo_frontera_produccion,2024,edad=9 a 14,5.8,porcentaje,"ENSANNA 2024, Gráfico 3 (INE/MTSS)"
trabajo_frontera_produccion,2024,edad=15 a 17,6.3,porcentaje,"ENSANNA 2024, Gráfico 3 (INE/MTSS)"
trabajo_frontera_produccion,2024,nse=Bajo,4.7,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_frontera_produccion,2024,nse=Medio bajo,6.2,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_frontera_produccion,2024,nse=Medio,4.3,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_frontera_produccion,2024,nse=Medio alto,5.0,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_frontera_produccion,2024,nse=Alto,4.0,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,total,1.9,porcentaje,"ENSANNA 2024, Gráfico 1 (INE/MTSS); TNRS"
trabajo_no_remunerado_servicios,2024,region=Interior,1.8,porcentaje,"ENSANNA 2024, Gráfico 1 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,region=Montevideo,2.2,porcentaje,"ENSANNA 2024, Gráfico 1 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,sexo=Mujer,2.8,porcentaje,"ENSANNA 2024, Gráfico 2 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,sexo=Varon,1.1,porcentaje,"ENSANNA 2024, Gráfico 2 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,edad=5 a 8,0.0,porcentaje,"ENSANNA 2024, Gráfico 3 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,edad=9 a 14,1.9,porcentaje,"ENSANNA 2024, Gráfico 3 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,edad=15 a 17,4.3,porcentaje,"ENSANNA 2024, Gráfico 3 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,nse=Bajo,3.2,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,nse=Medio bajo,1.4,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,nse=Medio,1.8,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,nse=Medio alto,0.8,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_no_remunerado_servicios,2024,nse=Alto,0.8,porcentaje,"ENSANNA 2024, Gráfico 4 (INE/MTSS)"
trabajo_infantil_fpscn,2010,total,9.9,porcentaje,"ENTI 2009-2010, Cuadro 9.2.1 (INE/OIT); definición FPSCN — no comparable con 2024 sin nota"
trabajo_infantil_fgp,2010,total,13.4,porcentaje,"ENTI 2009-2010, Cuadro 9.2.1 (INE/OIT); definición FGP — no comparable con 2024 sin nota"
trabajo_peligroso,2010,total,8.5,porcentaje,"ENTI 2009-2010, Cuadros 9.3.x (INE/OIT); sin equivalente publicado en 2024"
