anio,departamento,valor,nota
2018,Artigas,34,
2018,Canelones,265,
2018,Cerro Largo,50,
2018,Colonia,54,
2018,Durazno,38,
2018,Flores,18,
2018,Florida,44,
2018,Lavalleja,37,
2018,Maldonado,110,
2018,Montevideo,514,
2018,Paysandú,74,
2018,Río Negro,35,
2018,Rivera,92,
2018,Rocha,33,
2018,Salto,66,
2018,San José,69,
2018,Soriano,73,
2018,Tacuarembó,46,
2018,Treinta y Tres,21,
2018,Total nacional,1673,total (tabla 8)
2019,Artigas,51,
2019,Canelones,376,
2019,Cerro Largo,39,
2019,Colonia,95,
2019,Durazno,45,
2019,Flores,20,
2019,Florida,49,
2019,Lavalleja,52,
2019,Maldonado,119,
2019,Montevideo,674,
2019,Paysandú,74,
2019,Río Negro,57,
2019,Rivera,111,
2019,Rocha,77,
2019,Salto,91,
2019,San José,84,
2019,Soriano,69,
2019,Tacuarembó,77,
2019,Treinta y Tres,41,
2019,Total nacional,2201,total (tabla 8)
2020,Artigas,87,
2020,Canelones,362,
2020,Cerro Largo,58,
2020,Colonia,66,
2020,Durazno,57,
2020,Flores,26,
2020,Florida,51,
2020,Lavalleja,42,
2020,Maldonado,143,
2020,Montevideo,626,
2020,Paysandú,1,"valor impreso en el PDF; anómalo frente a 74 (2018), 74 (2019) y 86 (2021), pero consistente con el total nacional impreso (2065)"
2020,Río Negro,49,
2020,Rivera,87,
2020,Rocha,60,
2020,Salto,104,
2020,San José,73,
2020,Soriano,62,
2020,Tacuarembó,84,
2020,Treinta y Tres,27,
2020,Total nacional,2065,total (tabla 8)
2021,Artigas,80,
2021,Canelones,394,
2021,Cerro Largo,64,
2021,Colonia,69,
2021,Durazno,49,
2021,Flores,22,
2021,Florida,45,
2021,Lavalleja,33,
2021,Maldonado,164,
2021,Montevideo,718,
2021,Paysandú,86,
2021,Río Negro,54,
2021,Rivera,80,
2021,Rocha,64,
2021,Salto,125,
2021,San José,92,
2021,Soriano,81,
2021,Tacuarembó,77,
2021,Treinta y Tres,27,
2021,Total nacional,2324,total (tabla 8)
