cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Primera Infancia|Mujeres,31.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Primera Infancia|Varones,43.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Infancia|Mujeres,77.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Infancia|Varones,76.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Adolescencia|Mujeres,63.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Adolescencia|Varones,44.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Juventud|Mujeres,11.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Juventud|Varones,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Juventud y Adultez|Varones,2.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Total|Mujeres,183.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Total|Varones,166.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Amiga y Alternativa Familiar,Total país,Total general,349.0,cantidad
