cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,Familia de Origen2,61.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,Contexto Familiar propio3,195.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,Acogimiento Familiar propio4,406.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,Acogimiento Familiar amigo5,74.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,Cuidado Residencial6,299.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,Con Familia Adoptiva7,312.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Primera Infancia,Total país,total,1347.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Mujeres,Total país,Familia de Origen2,38.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Mujeres,Total país,Contexto Familiar propio3,96.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes vinculados a Dispositivos/ Acogimientos Familiares y Centros de Protección Especial, por lugar donde se encuentra residiendo,",Mujeres,Total país,Acogimiento Familiar propio4,209.0,cantidad
