indicador_codigo,indicador_nombre,departamento,periodo,apertura,valor,unidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2020-S1,total,114.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2020-S2,total,115.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2021-S1,total,146.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2021-S2,total,165.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2022-S1,total,164.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2022-S2,total,172.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2023-S1,total,177.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2023-S2,total,189.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2024-S1,total,189.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2024-S2,total,207.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2025-S1,total,217.0,cantidad
1,Cantidad de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento,Artigas,2025-S2,total,199.0,cantidad
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2020-S1,total,3.7,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2020-S2,total,3.7,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2021-S1,total,4.6,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2021-S2,total,5.2,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2022-S1,total,5.1,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2022-S2,total,5.0,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2023-S1,total,5.3,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2023-S2,total,5.4,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2024-S1,total,5.6,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2024-S2,total,6.1,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2025-S1,total,6.6,porcentaje
2,Porcentaje de NNA atendidos en algún proyecto del Sistema de Protección Especial del departamento respecto a la población total INAU del departamento,Artigas,2025-S2,total,6.1,porcentaje
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2020-S1,total,29.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2020-S2,total,41.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2021-S1,total,44.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2021-S2,total,54.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2022-S1,total,22.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2022-S2,total,23.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2023-S1,total,27.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2023-S2,total,28.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2024-S1,total,25.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2024-S2,total,26.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2025-S1,total,42.0,cantidad
5,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en residencia,Artigas,2025-S2,total,28.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2020-S1,total,85.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2020-S2,total,74.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2021-S1,total,102.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2021-S2,total,111.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2022-S1,total,142.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2022-S2,total,149.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2023-S1,total,150.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2023-S2,total,161.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2024-S1,total,160.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2024-S2,total,181.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2025-S1,total,175.0,cantidad
6,Cantidad de NNA en el Sistema de Protección Especial del departamento que viven en contexto familiar,Artigas,2025-S2,total,171.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2020-S1,total,21.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2020-S2,total,27.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2021-S1,total,49.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2021-S2,total,51.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2022-S1,total,34.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2022-S2,total,52.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2023-S1,total,49.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2023-S2,total,45.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2024-S1,total,36.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2024-S2,total,32.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2025-S1,total,43.0,cantidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2025-S2,total,47.0,cantidad
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2020-S1,total,15.9,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2020-S2,total,19.6,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2021-S1,total,30.2,porcentaje
