indicador_codigo,indicador_nombre,dimension,anio,apertura,valor,unidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,total,6516.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,total,6868.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,total,7226.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,total,8017.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,total,7902.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,total,7988.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,tramo=0 a 2 años,306.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,tramo=0 a 2 años,299.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,tramo=0 a 2 años,310.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,tramo=0 a 2 años,362.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,tramo=0 a 2 años,364.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,tramo=0 a 2 años,348.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,tramo=3 a 7 años,1155.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,tramo=3 a 7 años,1236.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,tramo=3 a 7 años,1254.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,tramo=3 a 7 años,1335.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,tramo=3 a 7 años,1222.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,tramo=3 a 7 años,1197.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,tramo=8 a 12 años,1725.0,cantidad
