metrica,anio,categoria,valor,unidad,verificacion
situaciones_atendidas,2013,total,1319,situaciones,texto informe 2013
situaciones_atendidas,2014,total,1728,situaciones,texto informe 2014
situaciones_atendidas,2015,total,1908,situaciones,texto informe 2015
situaciones_atendidas,2016,total,2647,situaciones,texto informe 2016
situaciones_atendidas,2017,total,3155,situaciones,texto informe 2017
situaciones_atendidas,2018,total,4131,situaciones,texto informe 2018
situaciones_atendidas,2019,total,4774,situaciones,texto informe 2019
situaciones_atendidas,2020,total,4911,situaciones,texto informe 2020
situaciones_atendidas,2021,total,7035,situaciones,texto informe 2021
situaciones_atendidas,2022,total,7473,situaciones,texto informe 2022
situaciones_atendidas,2023,total,8157,situaciones,"nota oficial Presidencia/INAU; confirmado en texto del informe 2025 (gráfico 2, serie retrospectiva)"
situaciones_atendidas,2024,total,8924,situaciones,"nota oficial Presidencia/INAU; confirmado en texto del informe 2025 (gráfico 2, serie retrospectiva)"
situaciones_atendidas,2025,total,9178,situaciones,texto informe 2025 (metodología tradicional; ver quiebre 7 en sipiav_notas.md)
situaciones_atendidas_nueva_metodologia,2025,total,7381,situaciones,texto informe 2025 (nueva definición: solo violencias activas en 2025 o cerradas explícitamente en el año)
nuevas_situaciones,2022,total,1643,situaciones,texto informe 2025 (gráfico 3 con valores en texto)
nuevas_situaciones,2023,total,1971,situaciones,texto informe 2025 (gráfico 3 con valores en texto)
nuevas_situaciones,2024,total,2501,situaciones,texto informe 2025 (gráfico 3 con valores en texto)
nuevas_situaciones,2025,total,2536,situaciones,texto informe 2025
distribucion_sexo,2013,Femenino,56,%,texto informe 2013
distribucion_sexo,2013,Masculino,44,%,texto informe 2013
distribucion_sexo,2014,Femenino,54,%,texto informe 2014
distribucion_sexo,2014,Masculino,46,%,texto informe 2014
distribucion_sexo,2015,Femenino,55,%,texto informe 2015
distribucion_sexo,2015,Masculino,45,%,texto informe 2015
distribucion_sexo,2016,Femenino,54,%,texto informe 2016
distribucion_sexo,2016,Masculino,46,%,texto informe 2016
distribucion_sexo,2017,Femenino,56,%,texto informe 2017
distribucion_sexo,2017,Masculino,44,%,texto informe 2017
distribucion_sexo,2018,Femenino,55,%,texto informe 2018
distribucion_sexo,2018,Masculino,45,%,texto informe 2018
distribucion_sexo,2019,Femenino,56,%,texto informe 2019
distribucion_sexo,2019,Masculino,44,%,texto informe 2019
distribucion_sexo,2020,Femenino,56,%,texto informe 2020
distribucion_sexo,2020,Masculino,44,%,texto informe 2020
distribucion_sexo,2021,Femenino,55,%,texto informe 2021
distribucion_sexo,2021,Masculino,45,%,texto informe 2021
distribucion_sexo,2022,Femenino,55,%,texto informe 2022
distribucion_sexo,2022,Masculino,45,%,texto informe 2022
distribucion_sexo,2023,Femenino,54,%,texto informe 2023
distribucion_sexo,2023,Masculino,46,%,texto informe 2023
distribucion_sexo,2024,Femenino,56,%,texto informe 2024
distribucion_sexo,2024,Masculino,44,%,texto informe 2024
distribucion_sexo,2025,Femenino,55,%,texto informe 2025
distribucion_sexo,2025,Masculino,45,%,texto informe 2025
distribucion_edad,2013,6-12,48,%,texto informe 2013
distribucion_edad,2014,0-3,9,%,texto informe 2014
distribucion_edad,2015,0-3,13,%,texto informe 2015
distribucion_edad,2016,0-3,14,%,texto informe 2016
distribucion_edad,2016,4-5,8,%,texto informe 2016
distribucion_edad,2016,6-12,44,%,texto informe 2016
distribucion_edad,2016,13-17,32,%,texto informe 2016
distribucion_edad,2016,18 y más,2,%,texto informe 2016
distribucion_edad,2017,0-3,14,%,texto informe 2017
distribucion_edad,2017,4-5,8,%,texto informe 2017
distribucion_edad,2017,6-12,42,%,texto informe 2017
distribucion_edad,2017,13-17,34,%,texto informe 2017
distribucion_edad,2017,18 y más,2,%,texto informe 2017
distribucion_edad,2018,0-3,12,%,texto informe 2018
distribucion_edad,2018,4-5,10,%,texto informe 2018
distribucion_edad,2018,6-12,42,%,texto informe 2018
distribucion_edad,2018,13-17,33,%,texto informe 2018
distribucion_edad,2018,18 y más,3,%,texto informe 2018
distribucion_edad,2019,0-3,8,%,texto informe 2019
distribucion_edad,2019,4-5,9,%,texto informe 2019
distribucion_edad,2019,6-12,39,%,texto informe 2019
distribucion_edad,2019,13-17,35,%,texto informe 2019
distribucion_edad,2019,18 y más,9,%,texto informe 2019
distribucion_edad,2020,0-5,17,%,texto informe 2020
distribucion_edad,2020,6-12,38,%,texto informe 2020
distribucion_edad,2020,13-17,35,%,texto informe 2020
distribucion_edad,2021,0-5,19,%,texto informe 2021
distribucion_edad,2021,6-12,37,%,texto informe 2021
distribucion_edad,2021,13-17,35,%,texto informe 2021
distribucion_edad,2022,0-5,17,%,texto informe 2022
distribucion_edad,2022,6-12,36,%,texto informe 2023 (retrospectivo para 2022)
distribucion_edad,2022,13-17,36,%,texto informe 2023 (retrospectivo para 2022)
distribucion_edad,2023,0-5,17,%,texto informe 2023
distribucion_edad,2024,0-5,17,%,texto informe 2024
distribucion_edad,2024,13-17,38,%,texto informe 2024
distribucion_edad,2025,0-3,15,%,texto informe 2025
distribucion_edad,2025,0-5,23,%,texto informe 2025
distribucion_edad,2025,6-12,38,%,texto informe 2025
distribucion_edad,2025,13-17,34,%,texto informe 2025
