fuente,indicador,anio,departamento,casos,poblacion_0a17_ech,n_muestral_poblacion,tasa_por_10mil,pobreza_2019_pct,n_muestral_pobreza_2019_pct,hacinamiento_2019_pct,n_muestral_hacinamiento_2019_pct
conapees,situaciones ESNNA atendidas,2018,Artigas,15,20406.0,735,7.35,18.1,735,2.12,442
conapees,situaciones ESNNA atendidas,2018,Canelones,32,151348.0,3834,2.11,9.99,3834,5.68,2303
conapees,situaciones ESNNA atendidas,2018,Cerro Largo,27,24499.0,780,11.02,15.66,780,5.6,472
conapees,situaciones ESNNA atendidas,2018,Colonia,30,32797.0,985,9.15,7.63,985,2.29,605
conapees,situaciones ESNNA atendidas,2018,Durazno,16,15734.0,549,10.17,16.87,549,3.51,310
conapees,situaciones ESNNA atendidas,2018,Flores,12,6830.0,257,17.57,7.63,257,1.36,159
conapees,situaciones ESNNA atendidas,2018,Florida,15,18313.0,534,8.19,8.81,534,1.62,321
conapees,situaciones ESNNA atendidas,2018,Lavalleja,9,14963.0,445,6.01,13.33,445,4.16,256
conapees,situaciones ESNNA atendidas,2018,Maldonado,33,47049.0,1159,7.01,4.82,1159,2.77,709
conapees,situaciones ESNNA atendidas,2018,Montevideo,53,309135.0,7744,1.71,24.07,7744,4.6,4693
conapees,situaciones ESNNA atendidas,2018,Paysandú,20,35921.0,1064,5.57,15.74,1064,7.59,588
conapees,situaciones ESNNA atendidas,2018,Rivera,20,30123.0,998,6.64,18.97,998,3.31,593
conapees,situaciones ESNNA atendidas,2018,Rocha,17,18819.0,743,9.03,13.14,743,1.92,463
conapees,situaciones ESNNA atendidas,2018,Río Negro,8,17069.0,483,4.69,11.9,483,3.05,283
conapees,situaciones ESNNA atendidas,2018,Salto,6,37383.0,1238,1.61,13.71,1238,4.81,691
conapees,situaciones ESNNA atendidas,2018,San José,15,30305.0,966,4.95,4.77,966,3.66,572
conapees,situaciones ESNNA atendidas,2018,Soriano,24,23326.0,663,10.29,11.74,663,3.52,363
conapees,situaciones ESNNA atendidas,2018,Tacuarembó,30,25595.0,807,11.72,14.04,807,2.61,480
conapees,situaciones ESNNA atendidas,2018,Treinta y Tres,4,13531.0,405,2.96,26.86,405,8.02,247
conapees,situaciones ESNNA atendidas,2019,Artigas,8,20406.0,735,3.92,18.1,735,2.12,442
conapees,situaciones ESNNA atendidas,2019,Canelones,22,151348.0,3834,1.45,9.99,3834,5.68,2303
conapees,situaciones ESNNA atendidas,2019,Cerro Largo,2,24499.0,780,0.82,15.66,780,5.6,472
conapees,situaciones ESNNA atendidas,2019,Colonia,11,32797.0,985,3.35,7.63,985,2.29,605
conapees,situaciones ESNNA atendidas,2019,Durazno,3,15734.0,549,1.91,16.87,549,3.51,310
