fuente,dimension,categoria,orden,metrica,valor,n_muestral,detalle
ensanna_2024,nse,Bajo,0.0,trabajo_infantil,7.9,,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
ensanna_2024,nse,Medio bajo,1.0,trabajo_infantil,7.5,,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
ensanna_2024,nse,Medio,2.0,trabajo_infantil,6.1,,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
ensanna_2024,nse,Medio alto,3.0,trabajo_infantil,5.9,,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
ensanna_2024,nse,Alto,4.0,trabajo_infantil,4.8,,"ENSANNA 2024, Cuadro 4 (INE/MTSS); NSE = INSE de CINVE"
ensanna_2024,region,Interior,,trabajo_infantil,7.7,,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
ensanna_2024,region,Montevideo,,trabajo_infantil,5.2,,"ENSANNA 2024, Cuadro 1 (INE/MTSS)"
ensanna_2024,region,Interior,,trabajo_frontera_produccion,5.9,,"ENSANNA 2024, Gráfico 1 (INE/MTSS)"
ensanna_2024,region,Montevideo,,trabajo_frontera_produccion,2.9,,"ENSANNA 2024, Gráfico 1 (INE/MTSS)"
ech_2024,nse,Bajo,0.0,pobreza_0a17_montevideo,54.54,929.0,"ECH 2024 (INE); estred13=1, solo Montevideo"
ech_2024,nse,Medio bajo,1.0,pobreza_0a17_montevideo,40.55,891.0,"ECH 2024 (INE); estred13=2, solo Montevideo"
ech_2024,nse,Medio,2.0,pobreza_0a17_montevideo,24.42,958.0,"ECH 2024 (INE); estred13=3, solo Montevideo"
ech_2024,nse,Medio alto,3.0,pobreza_0a17_montevideo,6.72,684.0,"ECH 2024 (INE); estred13=4, solo Montevideo"
ech_2024,nse,Alto,4.0,pobreza_0a17_montevideo,2.73,456.0,"ECH 2024 (INE); estred13=5, solo Montevideo"
ech_2024,region,Montevideo,,pobreza_0a17,30.87,3918.0,"ECH 2024 (INE), microdatos ponderados"
ech_2024,region,Interior,,pobreza_0a17,27.81,7564.0,"ECH 2024 (INE), microdatos ponderados"
ech_2024,region,Montevideo,,ocupacion_14a17,1.65,5651.0,"ECH 2024, panel mensual; promedio de 12 meses"
ech_2024,region,Interior,,ocupacion_14a17,3.66,9640.0,"ECH 2024, panel mensual; promedio de 12 meses"
