anio,departamento,nna_spe_s2,poblacion_0a17_ech,n_muestral_poblacion,tasa_spe_por_mil,pobreza_0a17_pct,n_muestral_pobreza_0a17_pct,hacinamiento_pct,n_muestral_hacinamiento_pct
2024,Artigas,207.0,22654,288,9.14,51.84,288,9.64,167
2024,Canelones,550.0,154976,1565,3.55,22.27,1565,5.02,1009
2024,Cerro Largo,224.0,24585,397,9.11,47.4,397,9.62,232
2024,Colonia,231.0,31877,360,7.25,21.93,360,1.01,226
2024,Durazno,178.0,12719,251,13.99,17.5,251,1.09,172
2024,Flores,105.0,6849,137,15.33,18.08,137,1.06,82
2024,Florida,309.0,16551,229,18.67,29.32,229,4.49,150
2024,Lavalleja,99.0,15306,271,6.47,24.02,271,2.63,163
2024,Maldonado,397.0,51756,800,7.67,19.49,800,1.94,526
2024,Montevideo,3660.0,314112,3918,11.65,30.87,3918,4.34,2487
2024,Paysandú,154.0,34041,502,4.52,31.61,502,11.46,305
2024,Rivera,199.0,14302,411,13.91,46.59,411,2.41,244
2024,Rocha,169.0,11836,351,14.28,30.73,351,1.57,213
2024,Río Negro,126.0,23361,304,5.39,29.31,304,10.45,179
2024,Salto,485.0,38933,488,12.46,30.52,488,8.39,277
2024,San José,317.0,31670,382,10.01,20.73,382,2.72,226
2024,Soriano,143.0,22713,304,6.3,25.47,304,2.15,174
2024,Tacuarembó,181.0,21456,317,8.44,36.63,317,3.65,202
2024,Treinta y Tres,168.0,13580,207,12.37,42.06,207,11.73,123
2025,Artigas,199.0,19324,250,10.3,34.82,250,5.35,154
2025,Canelones,565.0,149498,1396,3.78,23.93,1396,3.28,902
2025,Cerro Largo,232.0,24601,357,9.43,34.67,357,4.75,228
2025,Colonia,226.0,31377,327,7.2,17.25,327,0.37,219
2025,Durazno,178.0,14827,250,12.01,18.33,250,3.01,160
2025,Flores,111.0,6801,97,16.32,16.56,97,0.0,64
2025,Florida,303.0,15643,194,19.37,20.21,194,3.94,120
2025,Lavalleja,101.0,13652,207,7.4,20.42,207,2.78,128
2025,Maldonado,410.0,51165,794,8.01,15.82,794,2.9,520
2025,Montevideo,3700.0,314133,4019,11.78,32.7,4019,4.51,2576
2025,Paysandú,157.0,31800,444,4.94,28.48,444,3.72,278
2025,Rivera,235.0,30993,401,7.58,37.66,401,3.71,248
2025,Rocha,190.0,19190,324,9.9,23.25,324,4.39,208
2025,Río Negro,135.0,16734,267,8.07,25.34,267,1.97,163
2025,Salto,466.0,38792,463,12.01,32.9,463,5.76,284
2025,San José,312.0,28552,303,10.93,11.7,303,1.45,191
2025,Soriano,144.0,21282,264,6.77,34.45,264,3.17,161
2025,Tacuarembó,165.0,22956,285,7.19,16.57,285,1.51,189
2025,Treinta y Tres,159.0,13562,184,11.72,29.37,184,3.27,120
