metrica,anio,categoria,valor,unidad,n_muestral,fuente
pobreza_0a17,2019,total,16.15,porcentaje,24389,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,tramo=0 a 5,17.02,porcentaje,6935,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,tramo=13 a 17,14.98,porcentaje,7854,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,tramo=6 a 12,16.48,porcentaje,9600,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=ARTIGAS,18.1,porcentaje,735,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=CANELONES,9.99,porcentaje,3834,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=CERRO LARGO,15.66,porcentaje,780,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=COLONIA,7.63,porcentaje,985,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=DURAZNO,16.87,porcentaje,549,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=FLORES,7.63,porcentaje,257,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=FLORIDA,8.81,porcentaje,534,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=LAVALLEJA,13.33,porcentaje,445,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=MALDONADO,4.82,porcentaje,1159,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=MONTEVIDEO,24.07,porcentaje,7744,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=PAYSANDU,15.74,porcentaje,1064,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=RIO NEGRO,11.9,porcentaje,483,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=RIVERA,18.97,porcentaje,998,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=ROCHA,13.14,porcentaje,743,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
pobreza_0a17,2019,departamento=SALTO,13.71,porcentaje,1238,"ECH 2019 (INE), microdatos ponderados; pobreza oficial INE, canasta 2006"
