anio,tramo,prestador,porcentaje,casos_muestra,casos_muestra_tramo
2023,0-11 meses,Centros de primera infancia INAU,15.7,96,595
2023,0-11 meses,Centros dependientes de ANEP,0.0,0,595
2023,0-11 meses,"Centros privados (colegio, jardín, etc)",5.0,29,595
2023,0-11 meses,Otro público,0.2,1,595
2023,0-11 meses,Sin centro registrado,79.1,469,595
2023,12-23 meses,Centros de primera infancia INAU,37.8,169,461
2023,12-23 meses,Centros dependientes de ANEP,0.3,1,461
2023,12-23 meses,"Centros privados (colegio, jardín, etc)",15.9,71,461
2023,12-23 meses,Otro público,0.7,3,461
2023,12-23 meses,Sin centro registrado,45.4,217,461
2023,24-35 meses,Centros de primera infancia INAU,46.4,190,415
2023,24-35 meses,Centros dependientes de ANEP,1.8,7,415
2023,24-35 meses,"Centros privados (colegio, jardín, etc)",24.3,101,415
2023,24-35 meses,Otro público,0.2,1,415
2023,24-35 meses,Sin centro registrado,27.4,116,415
2023,36-47 meses,Centros de primera infancia INAU,40.2,178,447
2023,36-47 meses,Centros dependientes de ANEP,29.6,133,447
2023,36-47 meses,"Centros privados (colegio, jardín, etc)",19.0,86,447
2023,36-47 meses,Otro público,0.2,1,447
2023,36-47 meses,Sin centro registrado,10.9,49,447
2023,48-59 meses,Centros de primera infancia INAU,8.4,47,603
2023,48-59 meses,Centros dependientes de ANEP,59.5,364,603
2023,48-59 meses,"Centros privados (colegio, jardín, etc)",28.2,169,603
2023,48-59 meses,Otro público,0.9,7,603
2023,48-59 meses,Sin centro registrado,3.0,16,603
2023,Total 0-59 meses,Centros de primera infancia INAU,29.7,680,2521
2023,Total 0-59 meses,Centros dependientes de ANEP,18.2,505,2521
2023,Total 0-59 meses,"Centros privados (colegio, jardín, etc)",18.5,456,2521
2023,Total 0-59 meses,Otro público,0.4,13,2521
2023,Total 0-59 meses,Sin centro registrado,33.1,867,2521
