unidad_territorial,ultimo_observado_2025S2,modelo,mape_ingenuo,mape_deriva,mape_lineal,mape_logit,proy_2026-S1,rango_2026-S1,proy_2026-S2,rango_2026-S2,proy_2027-S1,rango_2027-S1,proy_2027-S2,rango_2027-S2
Total país,62.7,logit,1.72,0.61,0.69,0.66,63.9,61.4-66.4,64.8,62.2-67.2,65.6,63.1-68.0,66.4,63.9-68.8
Artigas,85.9,no_proyectable,5.09,7.64,12.76,9.2,,,,,,,,
Canelones,70.1,logit,1.85,1.29,0.33,0.43,71.0,69.4-72.7,72.3,70.7-73.9,73.6,72.0-75.1,74.8,73.3-76.3
Cerro Largo,68.5,no_proyectable,4.52,5.24,12.25,12.05,,,,,,,,
Colonia,72.1,no_proyectable,1.96,1.24,3.59,3.51,,,,,,,,
Durazno,94.4,no_proyectable,0.63,2.12,3.7,1.65,,,,,,,,
Flores,82.9,no_proyectable,2.14,3.8,10.23,6.08,,,,,,,,
Florida,78.2,logit,9.79,7.56,2.33,3.04,77.4,72.9-81.4,78.7,74.3-82.6,80.0,75.8-83.6,81.2,77.1-84.6
Lavalleja,46.5,no_proyectable,3.97,1.19,4.22,4.32,,,,,,,,
Maldonado,83.2,no_proyectable,0.96,1.65,4.79,3.01,,,,,,,,
Montevideo,52.7,no_proyectable,0.24,2.05,0.99,0.99,,,,,,,,
Paysandú,31.2,no_proyectable,23.49,12.64,46.34,46.34,,,,,,,,
Rivera,68.9,logit,16.12,14.42,8.84,8.94,71.0,59.1-80.6,73.1,61.6-82.2,75.1,64.0-83.6,77.0,66.4-85.0
Rocha,64.7,logit,12.1,8.06,9.79,9.62,63.6,54.3-72.1,65.7,56.6-73.9,67.8,58.8-75.6,69.7,61.0-77.2
Río Negro,73.3,logit,6.07,6.79,4.46,4.51,75.3,64.1-83.9,74.9,63.6-83.6,74.4,63.1-83.3,74.0,62.5-82.9
Salto,60.3,logit,9.74,6.04,3.85,3.87,59.8,55.5-64.0,61.5,57.2-65.6,63.0,58.8-67.1,64.6,60.5-68.5
San José,68.6,no_proyectable,3.62,4.69,5.43,5.3,,,,,,,,
Soriano,78.5,no_proyectable,6.68,6.49,7.67,7.71,,,,,,,,
Tacuarembó,77.6,logit,9.08,10.12,3.1,3.18,74.5,59.1-85.5,74.1,58.6-85.2,73.6,58.0-84.9,73.2,57.5-84.6
Treinta y Tres,71.1,logit,7.84,8.82,1.89,1.89,73.1,64.5-80.2,73.1,64.6-80.3,73.2,64.7-80.3,73.3,64.7-80.4
